2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10800] (0)GameLibrary Pluing into AddChildLibrary OK
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] USH_COMMAND_INIT End
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead End, Command = 3
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead Start, Command = 3
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] USH_COMMAND_INIT Start
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] StartRunning, Name: UserCenterPlugin, RunningThread 0000000000000728
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] ---Started to run library UserCenterPlugin OK---
2023-11-16 09:13:50; INFO; GameLibrary Pluing; 9976; 11040] [GameLibraryPlugin] (WaitableTimerNotify) Startup
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 11136] Before Library UserCenterPlugin into AddChildLibrary
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 11136] (0)UserCenterPlugin into AddChildLibrary OK
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] USH_COMMAND_INIT End
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead End, Command = 3
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] UserSessionPipeStreamServer OnRead Start, Command = 3
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] USH_COMMAND_INIT Start
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] StartRunning, Name: GameBoxPlugIn, RunningThread 0000000000000A58
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 10284] ---Started to run library GameBoxPlugIn OK---
2023-11-16 09:13:50; INFO; User Session Manager; 9976; 11140] Before Library GameBoxPlugIn into AddChildLibrary
2023-11-16 09:13:50; INFO; GameBoxPlugIn; 9976; 11140] CallLibrary Start
2023-11-16 09:13:50; INFO; GameBoxPlugIn; 9976; 11140] CallLibrary End
2023-11-16 09:13:50; INFO; GameBoxPlugIn; 9976; 11140] class CAEFPluginSample::LogWriteLine GetThirdPartyLibPath: Path = C:\ProgramData\ASUS\GamingCenterLib\
2023-11-16 09:13:50; INFO; GameBoxPlugIn; 9976; 11140] class CAEFPluginSample::LogWriteLine CreateThirdPartyLibPath: Result = Success
2023-11-16 09:13:50; INFO; GameBoxPlugIn; 9976; 11140] CallLibrary Start
2023-11-16 09:13:50; INFO; GameBoxPlugIn; 9976; 11140] CallLibrary End
2023-11-16 09:13:50; INFO; GameBoxPlugIn; 9976; 11140] CallLibrary Start
2023-11-16 09:13:50; INFO; GameBoxPlugIn; 9976; 11140] CallLibrary End
2023-11-16 09:13:50; INFO; AC_FDSPlugIn; 9976; 11476] CallLibrary Start
2023-11-16 09:13:50; INFO; AC_FDSPlugIn; 9976; 11476] CallLibrary End
2023-11-16 09:13:50; INFO; GameBoxPlugIn; 9976; 11140] class CAEFPluginSample::LogWriteLine [DevicesQueryHandler] GetMointorDeviceInformation: no device availiable.
